feature,fwd_ret_5d,fwd_ret_20d,fwd_ret_60d
ret_5d,-0.040026415319095204,-0.03398050757553143,-0.017247866883912596
ret_20d,-0.03778355301095935,-0.03469945738954575,-0.015473127220600574
ret_60d,-0.01761682593556968,-0.020965498315335302,-0.009563296199104303
ret_120d,-5.6533961269937363e-05,0.00731414201573898,0.04622847654677189
ret_5d_xs_rank,-0.028002338241579144,-0.017433348769160043,-0.009416926926301483
ret_20d_xs_rank,-0.018622237599346492,-0.016797099534174374,-0.00795289028436343
ret_60d_xs_rank,-0.004789465137505999,-0.006085272368592137,0.012549440780605813
ret_120d_xs_rank,0.008430623501792198,0.020831620260127942,0.05248154099874333
vol_20d,0.01350737076598797,0.03170658442909885,0.042991438186528896
vol_60d,0.00857767472168501,0.022661308963799653,0.03574788344486739
vol_20d_xs_rank,-0.007470753285142804,-0.006054631953079749,0.006005510350608365
kalman_deviation,-0.049494910644109484,-0.041805430180874965,-0.020659099225035688
vol_regime_z,0.014137857351722613,0.027721797042333667,0.016013796428090504
spectral_low_freq_ratio,0.0031385635779120685,0.017846286462890774,0.04348580468981106
volume_zscore_20d,-0.004392367144975316,0.0033217068927983394,0.00585187296529037
