timestamp,long_ret,short_ret,ls_ret_5d,n_long,n_short,daily_ret_gross,daily_ret_net,daily_cost
2016-01-04,-0.0533829743129645,-0.05581890289493292,0.0012179642909842109,20,20,0.00024359285819684217,3.5928581968421925e-06,0.00023999999999999998
2016-01-05,-0.05779316425850902,-0.048998753722516,-0.004397205267996512,20,20,-0.0008794410535993023,-0.0011194410535993022,0.00023999999999999998
2016-01-06,-0.02112733629837111,-0.04034805367631963,0.009610358688974259,20,20,0.0019220717377948517,0.0016820717377948517,0.00023999999999999998
2016-01-07,-0.021441153503532644,0.005725289489837165,-0.013583221496684905,20,20,-0.002716644299336981,-0.002956644299336981,0.00023999999999999998
2016-01-08,-0.0467152540137548,-0.006514413302824595,-0.020100420355465103,20,20,-0.0040200840710930205,-0.00426008407109302,0.00023999999999999998
2016-01-11,-0.040124214152371496,-0.030655232650486086,-0.004734490750942705,20,20,-0.0009468981501885409,-0.0011868981501885409,0.00023999999999999998
2016-01-12,-0.03571080023598376,-0.021157067933035494,-0.0072768661514741335,20,20,-0.0014553732302948267,-0.0016953732302948266,0.00023999999999999998
2016-01-13,-0.05176873178743424,-0.05447918091442132,0.0013552245634935386,20,20,0.00027104491269870775,3.104491269870777e-05,0.00023999999999999998
2016-01-14,-0.028439380433294796,-0.03589745911290493,0.003729039339805066,20,20,0.0007458078679610132,0.0005058078679610132,0.00023999999999999998
2016-01-15,0.028036810414551576,0.011792479156842067,0.008122165628854754,20,20,0.0016244331257709507,0.0013844331257709507,0.00023999999999999998
2016-01-18,0.030746490069441957,0.020339781621116125,0.005203354224162916,20,20,0.0010406708448325833,0.0008006708448325833,0.00023999999999999998
2016-01-19,0.02559952085890328,0.013511657946343536,0.006043931456279871,20,20,0.0012087862912559743,0.0009687862912559743,0.00023999999999999998
2016-01-20,0.05960956109670311,0.042679300470029685,0.008465130313336712,20,20,0.0016930260626673425,0.0014530260626673425,0.00023999999999999998
2016-01-21,0.02405176067423983,0.02626435397264445,-0.0011062966492023096,20,20,-0.00022125932984046193,-0.0004612593298404619,0.00023999999999999998
2016-01-22,0.007694593325317994,0.025437621630349398,-0.008871514152515702,20,20,-0.0017743028305031404,-0.00201430283050314,0.00023999999999999998
2016-01-25,0.022164980467688368,0.01809979235201083,0.002032594057838769,20,20,0.0004065188115677538,0.0001665188115677538,0.00023999999999999998
2016-01-26,-0.029492375878070777,-0.02986887584803084,0.00018824998498003127,20,20,3.764999699600625e-05,-0.0002023500030039937,0.00023999999999999998
