feature,fwd_ret_5d,fwd_ret_20d,fwd_ret_60d
ret_5d,-0.018040756042013054,-0.017973590712770354,-0.01871784976492767
ret_20d,-0.0253025748987351,-0.038749896742390294,-0.02698248722437043
ret_60d,-0.023284707857520598,-0.03266043815488246,-0.015428547513780574
ret_120d,-0.0059885888212960715,-0.01104701141702071,0.005497127481798583
ret_5d_xs_rank,-0.008282851827839076,-0.0062844736267856985,-0.003343795784696883
ret_20d_xs_rank,-0.005307863203865143,-0.0021748796176527733,0.0020763201593976773
ret_60d_xs_rank,0.0014483813172458577,0.00401211378242872,0.016740755655970083
ret_120d_xs_rank,0.012058627221783254,0.019578388709830297,0.03432674199529323
vol_20d,0.026215912605572853,0.04374285216607269,0.0523711647145374
vol_60d,0.02084922809657046,0.037976532229972035,0.045571187640448596
vol_20d_xs_rank,-0.003532591022714315,-0.0015576510395604382,-0.0014233955982865
kalman_deviation,-0.028079053910747803,-0.03415117180071976,-0.0282192558673949
vol_regime_z,0.02579919378319629,0.038580605992782145,0.02543490740352493
spectral_low_freq_ratio,0.004132616238447626,0.00583143545351759,0.0011151858366622545
volume_zscore_20d,-0.0016883361948545799,0.0009673966264152122,0.008343965055104272
